"chamber","district","title","full_name","first_name","last_name","party","url","email","phone","room","photo"
"House","2nd Middlesex","Representative","James Arciero","James","Arciero","Democrat","https://malegislature.gov/Legislators/Profile/J_A1","James.Arciero@mahouse.gov","(617) 722-2012","277","https://malegislature.gov/Legislators/Profile/70/J_A1.jpg"
"House","2nd Hampden","Representative","Brian M. Ashe","Brian","Ashe","Democrat","https://malegislature.gov/Legislators/Profile/BMA1","Brian.Ashe@mahouse.gov","(617) 722-2430","236","https://malegislature.gov/Legislators/Profile/70/BMA1.jpg"
"House","1st Norfolk","Representative","Bruce J. Ayers","Bruce","Ayers","Democrat","https://malegislature.gov/Legislators/Profile/BJA1","Bruce.Ayers@mahouse.gov","(617) 722-2220","254","https://malegislature.gov/Legislators/Profile/70/BJA1.jpg"
"House","12th Middlesex","Representative","Ruth B. Balser","Ruth","Balser","Democrat","https://malegislature.gov/Legislators/Profile/RBB1","Ruth.Balser@mahouse.gov","(617) 722-2199","163","https://malegislature.gov/Legislators/Profile/70/RBB1.jpg"
"House","34th Middlesex","Representative","Christine P. Barber","Christine","Barber","Democrat","https://malegislature.gov/Legislators/Profile/CPB2","Christine.Barber@mahouse.gov","(617) 722-2060","33","https://malegislature.gov/Legislators/Profile/70/CPB2.jpg"
"House","1st Berkshire","Representative","John Barrett, III","John","Barrett","Democrat","https://malegislature.gov/Legislators/Profile/J_B1","john.barrett@mahouse.gov","(617) 722-2305","237","https://malegislature.gov/Legislators/Profile/70/J_B1.jpg"
"House","1st Bristol","Representative","F. Jay Barrows","F. Jay","Barrows","Republican","https://malegislature.gov/Legislators/Profile/FJB1","F.JayBarrows@mahouse.gov","(617) 722-2488","542","https://malegislature.gov/Legislators/Profile/70/FJB1.jpg"
"House","4th Essex","Representative","Jamie Zahlaway Belsito","Jamie","Belsito","Democrat","https://malegislature.gov/Legislators/Profile/JZB1","jamie.belsito@mahouse.gov","(617) 722-2800 x7320","B-1","https://malegislature.gov/Legislators/Profile/70/JZB1.jpg"
"House","5th Worcester","Representative","Donald R. Berthiaume, Jr.","Donald","Berthiaume","Republican","https://malegislature.gov/Legislators/Profile/DRB1","Donald.Berthiaume@mahouse.gov","(774) 402-4742","540","https://malegislature.gov/Legislators/Profile/70/DRB1.jpg"
"House","4th Suffolk","Representative","David Biele","David","Biele","Democrat","https://malegislature.gov/Legislators/Profile/D_B1","David.Biele@mahouse.gov","(617) 722-2080","26","https://malegislature.gov/Legislators/Profile/70/D_B1.jpg"
